type,syllogism_en,scrambled_en,syllogism_de,syllogism_tr,ground_truth
"standard","All cats are mammals. All mammals are animals. Therefore, all cats are animals.","All wugs are florps. All florps are daxs. Therefore, all wugs are daxs.","Alle Katzen sind Säugetiere. Alle Säugetiere sind Tiere. Daher sind alle Katzen Tiere.","Bütün kediler memelidir. Bütün memeliler hayvandır. Bu nedenle, bütün kediler hayvandır.","VALID"
"standard","Some apples are red. All red things are sweet. Therefore, some apples are sweet.","Some snarks are mimsy. All mimsy florps are zoptic. Therefore, some snarks are zoptic.","Einige Äpfel sind rot. Alle roten Dinge sind süß. Daher sind einige Äpfel süß.","Bazı elmalar kırmızıdır. Bütün kırmızı şeyler tatlıdır. Bu nedenle, bazı elmalar tatlıdır.","VALID"
"standard","All birds have feathers. All robins are birds. Therefore, all robins have feathers.","All wugs have glorps. All florps are wugs. Therefore, all florps have glorps.","Alle Vögel haben Federn. Alle Rotkehlchen sind Vögel. Daher haben alle Rotkehlchen Federn.","Bütün kuşların tüyleri vardır. Bütün kızılgerdanlar kuştur. Bu nedenle, bütün kızılgerdanların tüyleri vardır.","VALID"
"standard","All squares are rectangles. All rectangles are polygons. Therefore, all squares are polygons.","All wugs are daxs. All daxs are zibbles. Therefore, all wugs are zibbles.","Alle Quadrate sind Rechtecke. Alle Rechtecke sind Polygone. Daher sind alle Quadrate Polygone.","Bütün kareler dikdörtgendir. Bütün dikdörtgenler çokgendir. Bu nedenle, bütün kareler çokgendir.","VALID"
"standard","All doctors study medicine. Surgeons are doctors. Therefore, surgeons study medicine.","All glorps study toma. daxs are glorps. Therefore, daxs study toma.","Alle Ärzte studieren Medizin. Chirurgen sind Ärzte. Daher studieren Chirurgen Medizin.","Bütün doktorlar tıp okur. Cerrahlar doktordur. Bu nedenle, cerrahlar tıp okur.","VALID"
"standard","All cars have wheels. Sedans are cars. Therefore, sedans have wheels.","All snarks have blickets. zibbles are snarks. Therefore, zibbles have blickets.","Alle Autos haben Räder. Limousinen sind Autos. Daher haben Limousinen Räder.","Bütün arabaların tekerlekleri vardır. Sedanlar arabadır. Bu nedenle, sedanların tekerlekleri vardır.","VALID"
"standard","All rivers flow downhill. The Amazon is a river. Therefore, the Amazon flows downhill.","All snarks flow downhill. The florp is a snark. Therefore, the florp flows downhill.","Alle Flüsse fließen bergab. Der Amazonas ist ein Fluss. Daher fließt der Amazonas bergab.","Bütün nehirler yokuş aşağı akar. Amazon bir nehirdir. Bu nedenle, Amazon yokuş aşağı akar.","VALID"
"standard","All planets orbit a star. Earth is a planet. Therefore, Earth orbits a star.","All blickets orbit a florp. glorp is a blicket. Therefore, snark orbits a florp.","Alle Planeten umkreisen einen Stern. Die Erde ist ein Planet. Daher umkreist die Erde einen Stern.","Bütün gezegenler bir yıldızın yörüngesinde döner. Dünya bir gezegendir. Bu nedenle, Dünya bir yıldızın yörüngesinde döner.","VALID"
"standard","All insects have six legs. Ants are insects. Therefore, ants have six legs.","All florps have six glorps. wugs are florps. Therefore, wugs have six glorps.","Alle Insekten haben sechs Beine. Ameisen sind Insekten. Daher haben Ameisen sechs Beine.","Bütün böceklerin altı bacağı vardır. Karıncalar böcektir. Bu nedenle, karıncaların altı bacağı vardır.","VALID"
"standard","No fish have lungs. All trout are fish. Therefore, no trout have lungs.","No florp have wugs. All zibbles are florp. Therefore, no zibbles have wugs.","Keine Fische haben Lungen. Alle Forellen sind Fische. Daher haben keine Forellen Lungen.","Hiçbir balığın akciğeri yoktur. Bütün alabalıklar balıktır. Bu nedenle, hiçbir alabalığın akciğeri yoktur.","VALID"
